conditionId,question,slug,volume24hr,liquidity,current_price,best_bid,best_ask,outcomePrices,active,endDate,resolutionSource
0x250c1689f275f8123a012fef3bd87505d573c82f02de694eb968b762ec21b4d5,Spurs vs. Clippers,nba-sas-lac-2026-04-02,4381617.075538006,105830.5701,0.915,0.91,0.92,"[""0.915"", ""0.085""]",True,2026-04-03T02:30:00Z,https://www.nba.com/
0x9df006923390474e5c675296b68396ace48d9ffb013d03472834db11988e0188,Lakers vs. Thunder,nba-lal-okc-2026-04-02,3498931.7533320067,2034014.92612,0.0005,,0.001,"[""0.0005"", ""0.9995""]",True,2026-04-03T01:30:00Z,https://www.nba.com/
0x6d0e09d0f04572d9b1adad84703458b0297bc5603b69dccbde93147ee4443246,US forces enter Iran by April 30?,us-forces-enter-iran-by-april-30-899,2586706.513857002,503858.8098,0.685,0.68,0.69,"[""0.685"", ""0.315""]",True,2026-04-30T00:00:00Z,
0x51e8c8df709aa78f64d2d9324d9d2556270f81e3966ade308099e5338bb4e4c9,Will Iraq win the 2026 FIFA World Cup?,will-iraq-win-the-2026-fifa-world-cup,1875524.9730000002,2324450.00222,0.0025,0.002,0.003,"[""0.0025"", ""0.9975""]",True,2026-07-20T00:00:00Z,
0xcd836ec4d94b8a4ddc5713d80fe9db245d2fb4796eaf12337974da1b4e96100d,Will Congo DR win the 2026 FIFA World Cup?,will-congo-dr-win-the-2026-fifa-world-cup,1831151.730999,2247468.49993,0.0025,0.002,0.003,"[""0.0025"", ""0.9975""]",True,2026-07-20T00:00:00Z,
0x1a22c136f277a62d27c22521a1ec1363d2edb5c657f129e509e77958dc1846d2,Will Beth Van Duyne win the 2026 Texas Republican Primary?,will-beth-van-duyne-win-the-2026-republican-primary,1827061.2199999979,94378.76781,0.0005,,0.001,"[""0.0005"", ""0.9995""]",True,2026-05-26T00:00:00Z,
0x8dcf8d4ae9ef4f7de04f354a3286cab70bd56e7b39e501ead0cc93700a1cbb34,Cavaliers vs. Warriors,nba-cle-gsw-2026-04-02,1672467.1446840048,236506.7786,0.655,0.65,0.66,"[""0.655"", ""0.345""]",True,2026-04-03T02:00:00Z,https://www.nba.com/
0x4adf64232c8b91900e0b48a81d68b3f08c0e0c57da9bc575b890dee39df219ae,Will Movement for a Better Hungary (Jobbik) win the most seats in the next Hungarian parliamentary election?,will-movement-for-a-better-hungary-jobbik-win-the-most-seats-in-the-next-hungarian-parliamentary-election,1582625.7149999987,41263.49506,0.001,,0.002,"[""0.001"", ""0.999""]",True,2026-04-12T00:00:00Z,
0x306d10d4a4d51b41910dbc779ca00908bd917c131541c5c42bbbc736258d2d56,US forces enter Iran by March 31?,us-forces-enter-iran-by-march-31-222-191-243-517-878-439-519,1569531.82,17460089.22796,0.0005,,0.001,"[""0.0005"", ""0.9995""]",True,2026-03-31T00:00:00Z,
0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,US x Iran ceasefire by April 7?,us-x-iran-ceasefire-by-april-7-278,1539645.9649739994,784632.76895,0.0165,0.016,0.017,"[""0.0165"", ""0.9835""]",True,2026-04-07T00:00:00Z,
